company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact
"atayne, llc",141.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
athleta,84.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atlas-schuhfabrik gmbh & co,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
atomic gmbh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
au-delà des frontières,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
auchan retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
auchan retail portugal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
australian brands alliance,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
axel arigato ab,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ba&sh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
baabuk sàrl,80.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balenciaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
bally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
banana republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
bared trading pty ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
barner,80.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barnes-noble-college-booksellers,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bcbgmaxazria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
be,110.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beachgold,83.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beanpole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
belgian fair trade federation,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bella-canvas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
belle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bellroy,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bellroy pty ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
berbrand srl,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bergans fritid as,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bergfreunde gmbh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
berghaus ltd.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bershka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
besson chaussures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"best buy co., inc.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
bestpol sp zo.o,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
bestseller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bestseller a/s,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
better narrative inc,84.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
better world fashion,100.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
between the sheets inc.,86.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bevaform service & handels gmbh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
bhcrafts doo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
big bazaar - ffb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
big w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
bigtruck®,86.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
billabong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
bird,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bixbee,81.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bloomingdale's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
blue star,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
bluestar marketing,83.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blundstone australia pty ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
bombas,89.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bonaveri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bondi born,88.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bonprix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
boohoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
bordechi,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bosideng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
bottega veneta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
bouga cacao,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bps overseas (p) ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
braloba group,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
brand collective australia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
british association of fair trade shops (bafts),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bronx fashion b.v,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
brooks brothers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
brooks running,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
brooks sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
"brooks sports, inc.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
brown thomas arnotts,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
brunello cucinelli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
buckle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
burberry,0.0,1.0,0.0,0.0,1.0,0.0,0.0,36.0,1.0
burberry limited,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
burlington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
burton,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
by malene birger a/s,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
c&a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0
caleres,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
calvin klein,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,0.0
calzedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
calzedonia group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
camelbak,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
camper (biniaraix manufacturing s.l.),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
