firstname,company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact
baabuk,baabuk sàrl,80.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balenciaga,balenciaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
bally,bally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
banana,banana republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
bared,bared trading pty ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
barner,barner,80.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barnes-noble-college-booksellers,barnes-noble-college-booksellers,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bcbgmaxazria,bcbgmaxazria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
be,be,110.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beachgold,beachgold,83.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beanpole,beanpole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
belgian,belgian fair trade federation,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bella-canvas,bella-canvas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
belle,belle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bellroy,bellroy,83.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
berbrand,berbrand srl,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bergans,bergans fritid as,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bergfreunde,bergfreunde gmbh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
berghaus,berghaus ltd.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bershka,bershka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
besson,besson chaussures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
best,"best buy co., inc.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
bestpol,bestpol sp zo.o,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
bestseller,bestseller,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
better,better narrative inc,185.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
between,between the sheets inc.,86.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bevaform,bevaform service & handels gmbh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
bhcrafts,bhcrafts doo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
big,big bazaar - ffb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
bigtruck®,bigtruck®,86.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
billabong,billabong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
bird,bird,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bixbee,bixbee,81.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bloomingdale's,bloomingdale's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
blue,blue star,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
bluestar,bluestar marketing,83.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
