company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact,DottyRank
banana republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2
bared trading pty ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
barner,80.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
barnes-noble-college-booksellers,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
bcbgmaxazria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
be,110.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
beachgold,83.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
beanpole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0
belgian fair trade federation,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
bella-canvas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
belle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bellroy,83.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8
berbrand srl,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bergans fritid as,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
bergfreunde gmbh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
berghaus ltd.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
bershka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,2
besson chaussures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"best buy co., inc.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
bestpol sp zo.o,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
bestseller,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
better narrative inc,185.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
between the sheets inc.,86.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
bevaform service & handels gmbh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
bhcrafts doo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
big bazaar - ffb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,2
bigtruck®,86.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
billabong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
bird,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
bixbee,81.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
bloomingdale's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0
blue star,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
bluestar marketing,83.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
blundstone australia pty ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
bombas,89.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
bonaveri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
bondi born,88.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
bonprix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,2
boohoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0
bordechi,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
bosideng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0
bottega veneta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,2
bouga cacao,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
bps overseas (p) ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
braloba group,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
brand collective australia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
british association of fair trade shops (bafts),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
bronx fashion b.v,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
brooks brothers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,0.0,1
brown thomas arnotts,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
brunello cucinelli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0
buckle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0
burberry,0.0,1.0,0.0,0.0,1.0,0.0,1.0,36.0,1.0,3
burlington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0
burton,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
by malene birger a/s,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
c&a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,0.0,3
caleres,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
calvin klein,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0,0.0,2
calzedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1
camelbak,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
camper (biniaraix manufacturing s.l.),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
canada goose,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1
capranea sports ag,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
capri holdings limited,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
carhartt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0
carla fernández | comercializadora de diseño flora sapi de cv,81.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
carolina herrera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0
caroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0
carrefour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1
castelijn & beerens bv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
cato fashions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0
celine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0
celio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
cha dô teehandels gmbh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
